soc_code,occ_title,employer_name,agc_type,url,url_type,source_type
11-9021,Construction Managers,Homes of Acadia,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,J McLaughlin Construction LLC,Specialty Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,J Pratt Construction,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,Knowles Industrial Services,General Contractors,https://knowlesindustrial.com/join-our-team-2/,company_site,local_employer
11-9021,Construction Managers,Lajoie Brothers Inc.,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,Landry/French Construction,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,"Langford & Low, Inc",General Contractors,https://langfordandlow.com/careers/,company_site,local_employer
11-9021,Construction Managers,Maine Design Build,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,Maine Earth,General Contractors,https://www.maineearth.com/Job-Opportunities/,company_site,local_employer
11-9021,Construction Managers,McGee Construction,General Contractors,https://mcgeeconstruction.com/careers,company_site,local_employer
11-9021,Construction Managers,N.M. Curtis Earthworks,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,"Nickerson & O'Day, Inc",General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,Northern Closure Constrution,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,Optimum Inc.,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,Ouellet Construction,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,"PC Construction, Inc",General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,PNM Construction Inc.,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,"Patco Construction, Inc",General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,Penobscot General Contractors,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,"Pike Industries, Inc",General Contractors,https://pikeindustries.com/careers/,company_site,local_employer
11-9021,Construction Managers,Prashaw Construction LLC,Specialty Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,"Pratt & Sons, Inc",General Contractors,http://prattandsons.net/apply-online/,company_site,local_employer
11-9021,Construction Managers,"R. J. Grondin & Sons, Inc",General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,Ranger Contracting,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,"Reed & Reed, Inc",General Contractors,https://reed-reed.com/jobs/,company_site,local_employer
11-9021,Construction Managers,Sargent Corporation,General Contractors,https://sargent.us/careers/,company_site,local_employer
11-9021,Construction Managers,Scott Construction Corporation,General Contractors,https://www.scottcon.com/,company_site,local_employer
11-9021,Construction Managers,"Shaw Brothers Construction, Inc",General Contractors,https://www.shawbrothers.com/careers/,company_site,local_employer
11-9021,Construction Managers,"Shaw Earthworks, Inc",General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,The Lander Group,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,Turner Construction Company,General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,"Wright-Ryan Construction, Inc",General Contractors,https://www.indeed.com/jobs?q=Construction%20Managers&l=Maine,indeed_fallback,local_employer
11-9021,Construction Managers,"Wyman & Simpson, Inc",General Contractors,https://www.wymansimpsoninc.com/employment,company_site,local_employer
11-9041,Architectural and Engineering Managers,ConstructionJobs.com,national,https://www.constructionjobs.com/,job_board,job_board
11-9041,Architectural and Engineering Managers,EngineerJobs.com,national,https://www.engineerjobs.com/,job_board,job_board
11-9041,Architectural and Engineering Managers,Live-and-Work-in-Maine,maine,https://www.liveandworkinmaine.com/jobs/,job_board,job_board
11-9041,Architectural and Engineering Managers,Michael Page Construction,national,https://www.michaelpage.com/jobs/construction,job_board,job_board
